No.,Nombre de municipio,Nombre de localidad,Clave del Centro de Trabajo (CCT),Nombre del plantel,Matrícula,Semáforo federal,Programa,Porcentaje de avance (%),Latitud,Longitud
2180,TEPANCO DE LÓPEZ,CINCO DE MAYO (BARRIO CUARTO),21KJN0873N,PREESCOLAR COMUNITARIO CINCO DE MAYO (BARRIO CUARTO),7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.513789,-97.518282
2181,IZÚCAR DE MATAMOROS,LA SOLEDAD PIZOTLA,21KJN0930O,PREESCOLAR COMUNITARIO RURAL LA SOLEDAD PIZOTLA,1,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.38519,-98.466656
2182,AMOZOC,GUADALUPE VICTORIA (GUADALUPE DEL MORAL),21KJN0935J,PREESCOLAR COMUNITARIO GUADALUPE VICTORIA,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.997359,-98.091626
2183,YEHUALTEPEC,LLANO GRANDE,21KJN0953Z,PREESCOLAR COMUNITARIO RURAL LLANO GRANDE,9,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.795038,-97.697327
2184,TEPEACA,LOS CARREONES,21KJN0958U,PREESCOLAR COMUNITARIO RURAL LOS CARREONES,11,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.007359,-97.841901
2185,SANTA INÉS AHUATEMPAN,SIETE LOMAS,21KJN0959T,PREESCOLAR COMUNITARIO RURAL SIETE LOMAS,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.493237,-98.04191
2186,TLACOTEPEC DE BENITO JUÁREZ,LA TEPETATERA,21KJN0960I,PREESCOLAR COMUNITARIO TEPETATERA,15,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.662778,-97.692222
2187,SAN MATÍAS TLALANCALECA,EX-HACIENDA MOLINO DE GUADALUPE (SAN FÉLIX),21KJN0964E,PREESCOLAR COMUNITARIO MESTIZO EX HACIENDA MOLINO DE GUADALUPE,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.368889,-98.520833
2188,ACAJETE,ACAJETE,21KJN0967B,PREESCOLAR COMUNITARIO LOS CAPULINES,8,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,19.103333,-97.951111
2189,CALTEPEC,ACTIPAN (SAN ISIDRO),21KJN0971O,PREESCOLAR COMUNITARIO MESTIZO SAN ANTONIO ACTIPAN,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.1452,-97.504671
2190,CUAYUCA DE ANDRADE,CAÑADA CHICA,21KJN0972N,PREESCOLAR COMUNITARIO MESTIZO CANADA CHICA,8,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.416389,-98.205833
2191,CHIAUTLA,EL LIMÓN,21KJN0976J,PREESCOLAR COMUNITARIO CERRO DEL TABL-N,20,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.267422,-98.61666
2192,TZICATLACOYAN,SAN MARTÍN TETELES,21KJN1012O,PREESCOLAR COMUNITARIO SAN MART-N LOS TETELES,7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.856049,-98.087171
2193,HUAQUECHULA,SANTA CRUZ YANCUITLALPAN,21KJN1040K,PREESCOLAR COMUNITARIO SANTA CRUZ YANCUITLALPAN,5,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.771389,-98.5275
2194,XOCHITLÁN TODOS SANTOS,BUENOS AIRES,21KJN1082J,PREESCOLAR COMUNITARIO RURAL BUENOS AIRES,7,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.669728,-97.851277
2195,AHUATLÁN,EL CARRIZO (PARAJE MICHIHUACAN),21KJN1109Z,PREESCOLAR COMUNITARIO RURAL EL CARRIZO (PARAJE MICHIHUACAN),4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.571565,-98.285253
2196,TEHUACÁN,MAGDALENA CUAYUCATEPEC,21KJN1140J,PREESCOLAR COMUNITARIO RURAL COLONIA LA PEDRERA,13,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.549722,-97.484722
2197,TOCHTEPEC,RANCHO BAUTISTA,21KJN1189B,PREESCOLAR COMUNITARIO RANCHO BAUTISTA,12,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.886467,-97.831667
2198,TIANGUISMANALCO,SANTO DOMINGO TENANTITLA,21KJN1218G,PREESCOLAR COMUNITARIO MESTIZO SANTO DOMINGO TENANTITLA,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.969655,-98.481089
2199,TLACOTEPEC DE BENITO JUÁREZ,PALO VERDE,21KJN1219F,PREESCOLAR COMUNITARIO EJIDO PALO VERDE,5,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.756667,-97.600556
2200,ZAPOTITLÁN,EJIDO GUADALUPE,21KJN1294M,PREESCOLAR COMUNITARIO RURAL EJIDO GUADALUPE,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.142778,-97.588889
2201,TEPEXCO,MICHAPA,21KJN1307Z,PREESCOLAR COMUNITARIO RURAL MICHAPA,4,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.664609,-98.639985
2202,AHUATLÁN,LA SÁBILA,21KJN1325P,PREESCOLAR COMUNITARIO RURAL LA SABILA,3,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.552395,-98.304142
2203,ZAPOTITLÁN,GUADALUPE LA MEZA,21KJN1330A,PREESCOLAR COMUNITARIO MESTIZO GUADALUPE LA MEZA,5,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.165809,-97.531122
2204,ATLIXCO,EL PAJAR,21KJN1356I,PREESCOLAR COMUNITARIO EL PAJAR,6,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.925983,-98.383312
2205,ZACAPALA,RANCHO NUEVO LOS NAVARROS,21KJN1389Z,PREESCOLAR COMUNITARIO MESTIZO RANCHO NUEVO LOS NAVARROS,13,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.646944,-97.958889
2206,TEHUACÁN,TEHUACÁN,21KJN1422R,PREESCOLAR COMUNITARIO MESTIZO SAN LORENZO,2,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.463889,-97.393056
2207,TEPEOJUMA,EL PEDREGAL,21KJN1425O,PREESCOLAR COMUNITARIO RURAL EL PEDREGAL,10,DAÑO MENOR,PROGRAMA DE LA REFORMA EDUCATIVA,100,18.680556,-98.442222
