N°,Municipio,Etapa,Edad,Género
128,ACATLAN DE OSORIO,1,30,Femenino
129,ACATLAN DE OSORIO,1,64,Femenino
130,ACATLAN DE OSORIO,1,30,Femenino
131,ACATLAN DE OSORIO,1,39,Femenino
132,ACATLAN DE OSORIO,1,35,Femenino
133,ACATLAN DE OSORIO,1,32,Femenino
134,ACATLAN DE OSORIO,1,54,Femenino
135,ACATLAN DE OSORIO,1,27,Femenino
136,ACATLAN DE OSORIO,1,29,Femenino
137,ACATLAN DE OSORIO,1,43,Femenino
138,ACATLAN DE OSORIO,1,61,Femenino
139,ACATLAN DE OSORIO,1,32,Femenino
140,ACATLAN DE OSORIO,1,71,Femenino
141,ACATLAN DE OSORIO,1,44,Femenino
142,ACATLAN DE OSORIO,1,40,Femenino
143,ACATLAN DE OSORIO,1,56,Femenino
144,ACATLAN DE OSORIO,1,39,Femenino
145,ACATLAN DE OSORIO,1,73,Femenino
146,ACATLAN DE OSORIO,1,36,Femenino
147,ACATLAN DE OSORIO,1,47,Femenino
148,ACATLAN DE OSORIO,1,40,Femenino
149,ACATLAN DE OSORIO,1,59,Femenino
150,ACATLAN DE OSORIO,1,49,Femenino
151,ACATLAN DE OSORIO,1,49,Femenino
152,ACATLAN DE OSORIO,1,22,Femenino
153,ACATLAN DE OSORIO,1,45,Femenino
154,ACATLAN DE OSORIO,1,53,Femenino
155,ACATLAN DE OSORIO,1,26,Femenino
156,ACATLAN DE OSORIO,1,32,Femenino
157,ACATLAN DE OSORIO,1,38,Femenino
158,ACATLAN DE OSORIO,1,22,Femenino
159,ACATLAN DE OSORIO,1,32,Femenino
160,ACATLAN DE OSORIO,1,43,Femenino
161,ACATLAN DE OSORIO,1,55,Femenino
162,ACATLAN DE OSORIO,1,28,Femenino
163,ACATLAN DE OSORIO,1,52,Femenino
164,ACATLAN DE OSORIO,1,39,Femenino
165,ACATLAN DE OSORIO,1,53,Femenino
166,ACATLAN DE OSORIO,1,21,Femenino
167,ACATLAN DE OSORIO,1,88,Femenino
168,ACATLAN DE OSORIO,1,57,Femenino
169,ACATLAN DE OSORIO,1,19,Femenino
170,ACATLAN DE OSORIO,1,33,Femenino
171,ACATLAN DE OSORIO,1,20,Femenino
172,ACATLAN DE OSORIO,1,35,Femenino
173,ACATLAN DE OSORIO,1,62,Femenino
174,ACATLAN DE OSORIO,1,64,Femenino
175,ACATLAN DE OSORIO,1,30,Femenino
176,ACATLAN DE OSORIO,1,65,Femenino
177,ACATLAN DE OSORIO,1,27,Femenino
178,ACATLAN DE OSORIO,1,23,Femenino
179,ACATLAN DE OSORIO,1,28,Femenino
180,ACATLAN DE OSORIO,1,30,Femenino
181,ACATLAN DE OSORIO,1,34,Femenino
182,ACATLAN DE OSORIO,1,23,Femenino
183,ACATLAN DE OSORIO,1,40,Femenino
184,ACATLAN DE OSORIO,1,18,Femenino
185,ACATLAN DE OSORIO,1,58,Femenino
186,ACATLAN DE OSORIO,1,35,Femenino
187,ACATLAN DE OSORIO,1,28,Femenino
188,ACATLAN DE OSORIO,1,40,Femenino
189,ACATLAN DE OSORIO,1,30,Femenino
190,ACATLAN DE OSORIO,1,43,Femenino
191,ACATLAN DE OSORIO,1,29,Femenino
192,ACATLAN DE OSORIO,1,32,Femenino
193,ACATLAN DE OSORIO,1,27,Femenino
194,ACATLAN DE OSORIO,1,30,Femenino
195,ACATLAN DE OSORIO,1,33,Femenino
196,ACATLAN DE OSORIO,1,54,Femenino
197,ACATLAN DE OSORIO,1,29,Femenino
198,ACATLAN DE OSORIO,1,59,Femenino
199,ACATLAN DE OSORIO,1,89,Femenino
200,ACATLAN DE OSORIO,1,27,Femenino
201,ACATLAN DE OSORIO,1,63,Femenino
202,ACATLAN DE OSORIO,1,23,Femenino
203,ACATLAN DE OSORIO,1,28,Femenino
204,ACATLAN DE OSORIO,1,61,Femenino
205,ACATLAN DE OSORIO,1,51,Femenino
206,ACATLAN DE OSORIO,1,58,Femenino
207,ACATLAN DE OSORIO,1,46,Femenino
208,ACATLAN DE OSORIO,1,69,Femenino
209,ACATLAN DE OSORIO,1,47,Femenino
210,ACATLAN DE OSORIO,1,34,Femenino
211,ACATLAN DE OSORIO,1,52,Femenino
212,ACATLAN DE OSORIO,1,20,Femenino
213,ACATLAN DE OSORIO,1,26,Femenino
214,ACATLAN DE OSORIO,1,37,Femenino
215,ACATLAN DE OSORIO,1,26,Femenino
216,ACATLAN DE OSORIO,1,64,Femenino
217,ACATLAN DE OSORIO,1,38,Femenino
218,ACATLAN DE OSORIO,1,34,Femenino
219,ACATLAN DE OSORIO,1,67,Femenino
220,ACATLAN DE OSORIO,1,27,Femenino
221,ACATLAN DE OSORIO,1,46,Femenino
222,ACATLAN DE OSORIO,1,44,Femenino
223,ACATLAN DE OSORIO,1,49,Femenino
224,ACATLAN DE OSORIO,1,45,Femenino
225,ACATLAN DE OSORIO,1,72,Femenino
226,ACATLAN DE OSORIO,1,54,Femenino
227,ACATLAN DE OSORIO,1,49,Femenino
228,ACATLAN DE OSORIO,1,29,Femenino
229,ACATLAN DE OSORIO,1,25,Femenino
230,ACATLAN DE OSORIO,1,20,Femenino
231,ACATLAN DE OSORIO,1,26,Femenino
232,ACATLAN DE OSORIO,1,53,Femenino
233,ACATLAN DE OSORIO,1,18,Femenino
234,ACATLAN DE OSORIO,1,57,Femenino
235,ACATLAN DE OSORIO,1,37,Femenino
236,ACATLAN DE OSORIO,1,22,Femenino
237,ACATLAN DE OSORIO,1,48,Femenino
238,ACATLAN DE OSORIO,1,43,Femenino
239,ACATLAN DE OSORIO,1,27,Femenino
240,ACATLAN DE OSORIO,1,34,Femenino
241,SAN PABLO ANICANO,1,29,Femenino
242,SAN PABLO ANICANO,1,19,Femenino
243,SAN PABLO ANICANO,1,25,Femenino
244,SAN PABLO ANICANO,1,45,Femenino
245,SAN PABLO ANICANO,1,27,Femenino
246,ACATLAN DE OSORIO,1,29,Femenino
247,ACATLAN DE OSORIO,1,74,Femenino
248,ACATLAN DE OSORIO,1,37,Femenino
249,ACATLAN DE OSORIO,1,31,Femenino
250,ACATLAN DE OSORIO,1,43,Femenino
251,ACATLAN DE OSORIO,1,46,Femenino
252,ACATLAN DE OSORIO,1,25,Femenino
253,ACATLAN DE OSORIO,1,28,Femenino
254,ACATLAN DE OSORIO,1,62,Femenino
255,ACATLAN DE OSORIO,1,49,Femenino
256,ACATLAN DE OSORIO,1,40,Femenino
257,ACATLAN DE OSORIO,1,42,Femenino
258,ACATLAN DE OSORIO,1,34,Femenino
259,ACATLAN DE OSORIO,1,26,Femenino
260,ACATLAN DE OSORIO,1,76,Femenino
261,ACATLAN DE OSORIO,1,33,Femenino
262,ACATLAN DE OSORIO,1,34,Femenino
